normalized_name,count,examples
영업활동으로인한현금흐름,14,영업활동으로 인한 현금흐름 | 영업활동으로인한현금흐름
투자활동으로인한현금흐름,14,투자활동으로 인한 현금흐름 | 투자활동으로인한 현금흐름 | 투자활동으로인한현금흐름
파생상품부채,14,파생상품부채
신주발행비지급,14,신주발행비 지급
비유동차입금사채포함의유동성대체부분,14,비유동차입금(사채 포함)의 유동성 대체 부분
장기대여금및수취채권의처분,14,장기대여금및수취채권의 처분
감가상각비에대한조정,14,감가상각비에 대한 조정
유형자산처분이익조정,14,유형자산처분이익 조정
유동성장기부채,14,유동성장기부채
배당금의지급,14,배당금의 지급 | 배당금의지급
유동성장기차입금의상환,14,유동성장기차입금의 상환 | 유동성 장기차입금의 상환
외화환산손실,13,외화환산손실
유형자산처분이익,13,유형자산처분이익
외화환산이익,13,외화환산이익
장기차입금의차입,13,장기차입금의 차입 | 장기차입금의차입
관계기업에대한투자자산의취득,13,관계기업에 대한 투자자산의 취득
차입금의상환,13,차입금의 상환
확정급여부채,13,확정급여부채
퇴직급여조정,13,퇴직급여 조정
무형자산상각비에대한조정,13,무형자산상각비에 대한 조정
외화환산손실조정,13,외화환산손실 조정
이자수익에대한조정,13,이자수익에 대한 조정
기타부채,13,기타부채
자본조정,13,자본조정
퇴직급여,12,퇴직급여
퇴직금의지급,12,퇴직금의 지급 | 퇴직금의지급
지분법손실,12,지분법손실
기초의현금및현금성자산,12,기초의 현금및현금성자산 | 기초의 현금 및 현금성자산
기타자본항목,12,기타자본항목
재무활동으로인한현금흐름,12,재무활동으로 인한 현금흐름 | 재무활동으로인한현금흐름
현금및현금성자산의환율변동효과,12,현금및현금성자산의 환율변동효과 | 현금및현금성자산의 환율변동 효과
미지급법인세,12,미지급법인세
기타비유동채권,12,기타비유동채권 | 기타 비유동채권
법인세의납부,12,법인세의 납부
장기매출채권및기타비유동채권총액,12,"장기매출채권 및 기타비유동채권, 총액"
대손상각비조정,12,대손상각비 조정
외화환산이익조정,12,외화환산이익 조정
유동파생상품자산,12,유동파생상품자산
유형자산처분손실조정,12,유형자산처분손실 조정
리스부채의지급,11,리스부채의 지급
지분법이익,11,지분법이익
관계기업투자주식의취득,11,관계기업투자주식의 취득 | 관계기업 투자주식의 취득
지분법적용대상관계기업과공동기업의기타포괄손익에대한지분세후기타포괄손익,11,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익)
전환사채의감소,11,전환사채의 감소
당기손익공정가치측정금융자산평가이익,11,당기손익공정가치측정금융자산평가이익 | 당기손익-공정가치측정금융자산평가이익 | 당기손익-공정가치측정금융자산 평가이익
유동계약부채,11,유동계약부채
기타불입자본,11,기타불입자본
유동성사채,11,유동성사채
장기금융상품의증가,11,장기금융상품의 증가
장기매출채권및기타채권,11,장기매출채권 및 기타채권 | 장기매출채권및기타채권
비유동파생상품자산,11,비유동파생상품자산
희석주당이익,11,희석주당이익
비유동파생상품부채,10,비유동파생상품부채
배당금수익,10,배당금수익 | 배당금 수익
선급금의감소증가,10,선급금의 감소(증가) | 선급금의감소(증가)
기타채권,10,기타채권
순확정급여부채의재측정요소,10,순확정급여부채의 재측정요소 | 순확정급여부채의 재측정 요소
기타금융자산의처분,10,기타금융자산의 처분
자기주식의처분,10,자기주식의 처분
이자비용조정,10,이자비용 조정
배당금의수취,10,배당금의 수취
사채의증가,10,사채의 증가
기타자산,10,기타자산
기본주당이익,10,기본주당이익
기타비유동금융자산의취득,10,기타비유동금융자산의 취득
정부보조금의수령,9,정부보조금의 수령
총포괄이익손실,9,총포괄이익(손실)
기타의대손상각비,9,기타의대손상각비 | 기타의 대손상각비
무형자산손상차손,9,무형자산손상차손
파생상품평가이익,9,파생상품평가이익
기타채무의증가감소,9,기타채무의 증가(감소)
기말의현금및현금성자산,9,기말의 현금및현금성자산 | 기말의 현금 및 현금성자산
기계장치의취득,9,기계장치의 취득
매각예정자산,9,매각예정자산
단기차입금의감소,9,단기차입금의 감소
관계기업투자주식의처분,9,관계기업투자주식의 처분 | 관계기업투자주식의처분
세후기타포괄손익지분상품에대한투자자산,9,"세후기타포괄손익, 지분상품에 대한 투자자산"
후속적으로당기손익으로재분류되는항목,9,후속적으로 당기손익으로 재분류되는 항목 | 후속적으로 당기손익으로 재분류 되는 항목
관계기업에대한투자자산의처분,9,관계기업에 대한 투자자산의 처분
기타포괄손익공정가치측정비유동금융자산,9,기타포괄손익-공정가치 측정 비유동금융자산
기타금융자산의취득,9,기타금융자산의 취득
기타의대손상각비조정,9,기타의 대손상각비 조정
당기손익공정가치측정금융자산처분이익,9,당기손익공정가치측정금융자산처분이익 | 당기손익-공정가치측정금융자산처분이익 | 당기손익-공정가치측정금융자산 처분이익
당기손익공정가치측정금융자산평가손실,9,당기손익공정가치측정금융자산평가손실 | 당기손익-공정가치측정금융자산평가손실 | 당기손익-공정가치측정금융자산 평가손실
미지급금의증가감소,9,미지급금의 증가(감소)
관계기업에대한투자자산,9,관계기업에 대한 투자자산
대손충당금환입,9,대손충당금환입 | 대손충당금 환입
사채,9,사채
기타영업외수익,9,기타영업외수익
기타영업외비용,9,기타영업외비용
기타비유동금융자산의처분,9,기타비유동금융자산의 처분
차량운반구의처분,9,차량운반구의 처분
차량운반구의취득,9,차량운반구의 취득
재무활동으로인한현금유입액,9,재무활동으로인한현금유입액 | 재무활동으로 인한 현금유입액
재무활동으로인한현금유출액,9,재무활동으로인한현금유출액 | 재무활동으로 인한 현금유출액
기타유동자산의감소증가,8,기타유동자산의 감소(증가)
주식의발행,8,주식의 발행
파생상품평가손실,8,파생상품평가손실
잡이익,8,잡이익
기타채권의감소증가,8,기타채권의 감소(증가)
기타장기종업원급여부채,8,기타장기종업원급여부채
기타보증금의증가,8,기타보증금의 증가
장기리스부채,8,장기리스부채
당기손익으로재분류되지않는항목,8,당기손익으로 재분류되지 않는 항목 | 당기손익으로 재분류되지 않는항목 | 당기손익으로 재분류 되지 않는 항목
매각예정비유동자산,8,매각예정비유동자산
단기미지급금,8,단기미지급금
단기미지급비용,8,단기미지급비용
예수금의증가감소,8,예수금의 증가(감소)
선수금의증가감소,8,선수금의 증가(감소)
건설중인자산의취득,8,건설중인자산의 취득
비유동당기손익인식금융자산,8,비유동당기손익인식금융자산 | 비유동 당기손익인식금융자산
관계기업투자자산의처분,8,관계기업투자자산의 처분
기타포괄손익공정가치금융자산,8,기타포괄손익-공정가치 금융자산 | 기타포괄손익-공정가치금융자산 | 기타포괄손익공정가치금융자산
영업외비용,8,영업외비용
잡이익조정,8,잡이익 조정
자산재평가손익세후기타포괄손익,8,자산재평가손익(세후기타포괄손익)
당기손익인식금융자산평가이익조정,8,당기손익인식금융자산평가이익 조정
당기손익인식금융자산평가손실조정,8,당기손익인식금융자산평가손실 조정
지배기업소유주,8,지배기업소유주 | 지배기업 소유주
지배기업소유지분,8,지배기업 소유지분 | 지배기업소유지분
재고자산평가손실,7,재고자산평가손실
무형자산처분손실,7,무형자산처분손실
기타비유동자산의감소증가,7,기타비유동자산의 감소(증가)
이자수취영업,7,이자수취(영업)
기타금융자산의감소,7,기타금융자산의 감소
자기주식,7,자기주식
기타유동금융자산의감소,7,기타유동금융자산의 감소
해외사업장환산외환차이,7,해외사업장환산외환차이
영업으로부터창출된현금흐름,7,영업으로부터 창출된 현금흐름 | 영업으로부터창출된현금흐름
매도가능금융자산의취득,7,매도가능금융자산의 취득 | 매도가능금융자산의취득
지분법적용투자지분의취득,7,지분법적용 투자지분의 취득
종속기업공동기업과관계기업에대한투자자산,7,"종속기업, 공동기업과 관계기업에 대한 투자자산"
기타보증금의감소,7,기타보증금의 감소 | 기타보증금의감소
기타채무,7,기타채무
차입부채,7,차입부채
단기예수금,7,단기예수금
단기선수금,7,단기선수금
유형자산손상차손조정,7,유형자산손상차손 조정
미지급비용의증가감소,7,미지급비용의 증가(감소)
기계장치의처분,7,기계장치의 처분
유동계약자산,7,유동계약자산
영업에서창출된현금,7,영업에서 창출된 현금
관계기업및공동기업투자,7,관계기업 및 공동기업 투자 | 관계기업 및 공동기업투자 | 관계기업및공동기업투자
당기손익으로재분류되지않는세후기타포괄손익,7,당기손익으로 재분류되지 않는 세후기타포괄손익 | 당기손익으로 재분류 되지않는 세후기타포괄손익
미수금의감소증가,7,미수금의 감소(증가)
정부보조금의상환,7,정부보조금의 상환
영업외수익,7,영업외수익
재고자산평가손실조정,7,재고자산평가손실 조정
무형자산처분이익,7,무형자산처분이익
법인세의환급납부,7,법인세의 환급(납부) | 법인세의환급(납부)
유동성신주인수권부사채,7,유동성신주인수권부사채
기타포괄손익공정가치측정지분상품평가손익,7,기타포괄손익-공정가치측정지분상품평가손익 | 기타포괄손익-공정가치측정 지분상품 평가손익 | 기타포괄손익 공정가치 측정 지분상품 평가손익
총포괄이익,7,총포괄이익
장기매입채무및기타채무,7,장기매입채무 및 기타채무 | 장기매입채무및기타채무
기타비유동부채의증가감소,6,기타비유동부채의 증가(감소)
당기손익공정가치측정금융자산의증가,6,당기손익공정가치측정금융자산의 증가 | 당기손익-공정가치측정금융자산의 증가 | 당기손익-공정가치측정 금융자산의 증가
기타금융자산의증가,6,기타금융자산의 증가
주식선택권의행사,6,주식선택권의 행사
비현금항목의조정,6,비현금항목의 조정 | 비현금항목의조정
기타유동금융자산의증가,6,기타유동금융자산의 증가
당기손익공정가치금융자산의처분,6,당기손익-공정가치금융자산의처분 | 당기손익-공정가치금융자산의 처분 | 당기손익공정가치금융자산의 처분
당기손익공정가치측정금융부채,6,당기손익-공정가치측정금융부채 | 당기손익공정가치측정금융부채
미지급금,6,미지급금
장기금융상품의감소,6,장기금융상품의 감소 | 장기금융상품의감소
유동당기손익인식금융자산의무적으로측정된공정가치,6,"유동 당기손익인식금융자산, 의무적으로 측정된 공정가치"
장기기타채권,6,장기기타채권
장기기타채무,6,장기기타채무
유형자산손상차손,6,유형자산손상차손
상각후원가측정금융자산의처분,6,상각후원가측정 금융자산의 처분 | 상각후원가측정금융자산의처분 | 상각후원가측정금융자산의 처분
차입금의차입,6,차입금의 차입
리스료의지급,6,리스료의 지급 | 리스료의지급
선급비용의감소증가,6,선급비용의 감소 (증가)
기타비유동채무,6,기타비유동채무
조정,6,조정
지분법이익잉여금변동,6,지분법이익잉여금변동 | 지분법 이익잉여금 변동
사외적립자산의공정가치의감소증가,6,사외적립자산의공정가치의 감소(증가)
당기손익으로재분류될수있는항목,6,당기손익으로 재분류될 수 있는 항목
사용권자산의취득,6,사용권자산의 취득
관계기업투자자산처분손실,6,관계기업투자자산처분손실
사채상환손실,6,사채상환손실
투자활동으로부터의현금유입,6,투자활동으로부터의 현금유입
기타유동금융자산의처분,6,기타유동금융자산의 처분
투자활동으로부터의현금유출,6,투자활동으로부터의 현금유출
기타유동금융자산의취득,6,기타유동금융자산의 취득
종속기업에대한투자자산의취득,6,종속기업에 대한 투자자산의 취득
기타유동자산의감소증가조정,6,기타유동자산의 감소(증가) 조정
장기매출채권및기타비유동채권,6,장기매출채권 및 기타비유동채권
투자활동으로인한현금유입액,6,투자활동으로인한현금유입액 | 투자활동으로 인한 현금유입액
투자활동으로인한현금유출액,6,투자활동으로인한현금유출액 | 투자활동으로 인한 현금유출액
장기금융자산,6,장기금융자산
연결범위의변동,6,연결범위의 변동
영업외손익,6,영업외손익
복구충당부채,5,복구충당부채
총포괄손익지배기업의소유주에게귀속되는지분,5,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분"
영업활동으로인한자산ㆍ부채의변동,5,영업활동으로인한자산ㆍ부채의변동
기타포괄손익공정가치금융자산평가손익,5,기타포괄손익-공정가치금융자산평가손익
파생상품거래이익,5,파생상품거래이익
당기손익공정가치금융자산의취득,5,당기손익-공정가치금융자산의취득 | 당기손익-공정가치금융자산의 취득
기타비유동금융자산의감소,5,기타비유동금융자산의 감소
시설장치의취득,5,시설장치의 취득
선급금의증가,5,선급금의 증가
장기차입금의감소,5,장기차입금의 감소
연결범위변동,5,연결범위변동
확정급여채무,5,확정급여채무
확정급여제도의재측정손익,5,확정급여제도의 재측정손익
단기미수금총액,5,"단기미수금, 총액"
단기미수수익총액,5,"단기미수수익, 총액"
단기선급금총액,5,"단기선급금, 총액"
단기선급비용총액,5,"단기선급비용, 총액"
장기종업원급여,5,장기종업원급여
보통주자본금,5,보통주자본금
기타판매비와관리비,5,기타판매비와관리비
사무용비품의취득,5,사무용비품의 취득
지배력을상실하지않는종속기업에대한소유지분의변동으로인한지급,5,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동으로 인한 지급
법인세효과,5,법인세효과
후속적으로당기손익으로재분류되는포괄손익,5,후속적으로 당기손익으로 재분류되는 포괄손익 | 후속적으로당기손익으로재분류되는포괄손익 | 후속적으로 당기손익으로 재분류 되는 포괄손익
영업활동에서창출된현금흐름,5,영업활동에서 창출된 현금흐름
외화표시현금및현금성자산의환율변동효과,5,외화표시 현금및현금성자산의 환율변동효과 | 외화표시현금및현금성자산의 환율변동효과
유동금융보증부채,5,유동금융보증부채
지분법이익조정,5,지분법이익 조정
사외적립자산의감소증가,5,사외적립자산의 감소(증가) | 사외적립자산의감소(증가)
무형자산손상차손조정,5,무형자산손상차손 조정
충당부채의증가감소,5,충당부채의 증가(감소)
당기손익으로재분류되는세후기타포괄손익,5,당기손익으로 재분류되는 세후기타포괄손익
상각후원가측정금융자산의취득,5,상각후원가측정금융자산의취득 | 상각후원가측정금융자산의 취득
지배기업주주지분,5,지배기업주주지분
건물의취득,5,건물의 취득
당기손익공정가치측정금융자산처분손실,5,당기손익-공정가치측정금융자산 처분손실 | 당기손익-공정가치측정 금융자산 처분손실 | 당기손익-공정가치측정금융자산처분손실
기타영업수익,5,기타영업수익
기타영업비용,5,기타영업비용
계속영업이익,5,계속영업이익
비지배지분순이익,5,비지배지분 순이익 | 비지배지분순이익
관계기업투자의취득,5,관계기업투자의 취득
유동성장기차입금의감소,5,유동성장기차입금의 감소
토지의취득,5,토지의 취득
비유동순확정급여부채,5,비유동 순확정급여부채
영업비용,5,영업비용
총포괄손익비지배지분,4,"총 포괄손익, 비지배지분"
주식보상비용,4,주식보상비용
재고자산평가손실환입,4,재고자산평가손실환입
기타금융부채의증가감소,4,기타금융부채의 증가(감소)
계약부채의증가감소,4,계약부채의 증가(감소)
기타비유동금융부채의증가감소,4,기타비유동금융부채의 증가(감소)
당기손익공정가치측정금융자산의감소,4,당기손익공정가치측정금융자산의 감소 | 당기손익-공정가치측정금융자산의 감소
기타비유동금융자산의증가,4,기타비유동금융자산의 증가
대손상각비환입,4,대손상각비(환입)
파생상품거래손실,4,파생상품거래손실
기타비유동자산의증가,4,기타비유동자산의 증가 | 기타비유동자산의증가
종속기업의유상증자,4,종속기업의 유상증자
영업활동으로부터창출된현금흐름,4,영업활동으로부터 창출된 현금흐름
계속영업당기순이익손실,4,계속영업당기순이익(손실)
기타비유동자산의감소,4,기타비유동자산의 감소 | 기타비유동자산의감소
종속기업투자주식의취득,4,종속기업투자주식의 취득 | 종속기업 투자주식의 취득
유동성장기부채의감소,4,유동성장기부채의 감소 | 유동성장기부채의감소
신주인수권부사채의증가,4,신주인수권부사채의 증가
매출채권및기타수취채권,4,매출채권및기타수취채권 | 매출채권 및 기타수취채권
자산재평가손익,4,자산재평가손익
영업으로부터창출된현금,4,영업으로부터 창출된 현금
차입금의증가,4,차입금의 증가
연결자본거래로인한현금유입,4,연결자본거래로 인한 현금유입
사채발행비지급,4,사채발행비 지급
유동성교환사채,4,유동성교환사채
선급금,4,선급금
선급비용,4,선급비용
기본주당손익,4,기본주당손익
관계기업투자자산의취득,4,관계기업투자자산의 취득
장기기타채권의감소,4,장기기타채권의 감소
장기기타채권의증가,4,장기기타채권의 증가
상각후원가로측정하는비유동금융자산,4,상각후원가로 측정하는 비유동 금융자산
장기대여금,4,장기대여금
잡손실,4,잡손실
단기대여금의회수,4,단기대여금의 회수
비지배주주지분,4,비지배주주지분
미수수익의감소증가,4,미수수익의 감소(증가)
예수보증금의감소,4,예수보증금의 감소
보험수리적손익,4,보험수리적손익 | 보험수리적 손익
정부보조금의증가,4,정부보조금의 증가
현금의기타유입유출,4,현금의기타유입(유출)
무형자산처분손실조정,4,무형자산처분손실 조정
잡손실조정,4,잡손실 조정
부가가치세예수금의증가감소,4,부가가치세 예수금의 증가(감소)
금융상품의취득,4,금융상품의 취득
지분법적용투자지분,4,지분법적용 투자지분
현금및현금성자산의순증감,4,현금및현금성자산의순증감 | 현금및현금성자산의 순증감
외화표시현금및현금성자산에대한환율변동효과,4,외화표시 현금및현금성자산에 대한 환율변동효과
미지급비용,4,미지급비용
단기리스부채,4,단기리스부채
비지배지분귀속,4,비지배지분 귀속
정부보조금의상환투자활동,4,"정부보조금의 상환, 투자활동"
퇴직급여운용자산퇴직연금운용자산,4,퇴직급여운용자산/퇴직연금운용자산
비지배지분의감소,4,비지배지분의 감소
기타충당부채,4,기타충당부채
유동성리스부채,4,유동성리스부채
후속적으로당기손익으로재분류되지않는포괄손익,4,후속적으로 당기손익으로 재분류되지 않는 포괄손익 | 후속적으로 당기손익으로 재분류 되지 않는 포괄손익
확정급여자산,4,확정급여자산
