normalized_name,count,examples
당기손익공정가치금융자산의취득,1,당기손익-공정가치금융자산의 취득
매각예정자산의처분으로인한현금유입액,1,매각예정자산의 처분으로 인한 현금유입액
기타투자활동으로인한현금유출입액,1,기타투자활동으로 인한 현금유출입액
단기차입금의순증가감소,1,단기차입금의 순증가(감소)
사채및장기차입금의상환,1,사채 및 장기차입금의 상환
비지배지분의증감,1,비지배지분의 증감
매각예정분류,1,매각예정분류
외화환산으로인한현금의변동,1,외화환산으로 인한 현금의 변동
단기투자자산,1,단기투자자산
장기투자자산,1,장기투자자산
확정급여부채,1,확정급여부채
지배기업의소유지분,1,지배기업의 소유지분
부채및자본총계,1,부채및자본총계
매출총이익손실,1,매출총이익(손실)
지분법투자관련손익,1,지분법투자 관련 손익
법인세차감후기타포괄손익,1,법인세차감후 기타포괄손익
파생상품평가이익손실,1,파생상품평가이익(손실)
단기투자자산의순증감,1,단기투자자산의 순증감
기타금융자산의감소,1,기타금융자산의 감소
기타금융자산의증가,1,기타금융자산의 증가
장기투자자산의처분,1,장기투자자산의 처분
장기투자자산의취득,1,장기투자자산의 취득
관계기업투자의처분,1,관계기업투자의 처분
관계기업투자의취득,1,관계기업투자의 취득
사업결합으로인한순현금유출,1,사업결합으로 인한 순현금유출
차입금의차입,1,차입금의 차입
종속기업유상증자및소유지분변동,1,종속기업 유상증자 및 소유지분변동
유동성장기차입금,1,유동성장기차입금
유동성사채,1,유동성사채
자본및부채총계,1,자본및부채총계
기타포괄손익공정가치측정지분상품처분손익,1,기타포괄손익-공정가치 측정 지분상품 처분손익
재평가손익,1,재평가손익
기본주당순이익,1,기본주당순이익
희석주당순이익,1,희석주당순이익
이자의수입,1,이자의 수입
리스채권의회수,1,리스채권의 회수
관계기업및공동기업투자주식의처분,1,관계기업및공동기업투자주식의 처분
사업결합으로인한현금의순증감,1,사업결합으로 인한 현금의 순증감
종속기업의처분,1,종속기업의 처분
단기대여금의증가,1,단기대여금의 증가
단기대여금의감소,1,단기대여금의 감소
장기대여금의감소,1,장기대여금의 감소
기타투자활동으로인한현금유입액,1,기타투자활동으로 인한 현금유입액
기타투자활동으로인한현금유출액,1,기타투자활동으로 인한 현금유출액
유동차입금의차입,1,유동차입금의 차입
유동차입금의상환,1,유동차입금의 상환
비유동차입금의차입,1,비유동차입금의 차입
비유동차입금의상환,1,비유동차입금의 상환
당기손익공정가치측정금융부채의증가,1,당기손익-공정가치 측정 금융부채의 증가
종속회사유상증자,1,종속회사 유상증자
주식기준보상관련현금유입,1,주식기준보상관련 현금유입
기타재무활동으로인한현금유입액,1,기타재무활동으로 인한 현금유입액
